id,title,town,state,usage_type,status,operator,connection_types,power_kw,quantity,lat,lon,usage_simple,status_simple,is_fast,state_abbrev
190472,Wagin Motel,Wagin,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type 2 (Tethered Connector) ",11.0,2.0,-33.30772086650226,117.34616189953726,private,operational,False,WA
190471,The Lily Dutch Windmill - Stirling Range,Amelup,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"Tesla (Model S/X), Three Phase 5-Pin (AS/NZ 3123)",22.0,3.0,-34.223273068915724,118.21594999488394,private,operational,False,WA
190470,Treetop Walk Motel,Walpole,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),14.4,1.0,-34.9755934090466,116.73493267275126,public,operational,False,WA
190469,Northcliffe Hotel Motel,Northcliffe,Western Australia,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),"Tesla (Model S/X), Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",11.0,4.0,-34.63065447771885,116.12378507568116,private,operational,False,WA
190468,Best Western Pemberton,Pemberton,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),11.0,1.0,-34.44411440805307,116.03653827573595,public,operational,False,WA
190467,Stay Margaret River,Margaret River,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type I (AS 3112)",22.0,2.0,-33.953751896279094,115.06007358112566,public,operational,False,WA
190466,Myalup Beach Caravan Park,Myalup,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),"Tesla (Model S/X), Three Phase 5-Pin (AS/NZ 3123), Unknown",22.0,4.0,-33.10288926692897,115.68908721055715,public,operational,False,WA
190465,State Library of Western Australia,Northbridge,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,2.0,-31.949165795484845,115.86050694534993,public,operational,False,WA
190464,Perth Cultural Centre,Perth,Western Australia,Public - Pay At Location,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,2.0,-31.95054936969006,115.8601032721649,public,operational,False,WA
190463,Perth Convention and Exhibition Centre,Perth,Western Australia,Public,Operational,(Unknown Operator),"Three Phase 5-Pin (AS/NZ 3123), Type 1 (J1772)",22.0,2.0,-31.95535657614961,115.8529214449357,public,operational,False,WA
190462,City of Perth Council-House,Perth,Western Australia,Public,Operational,(Unknown Operator),Three Phase 5-Pin (AS/NZ 3123),22.0,2.0,-31.956912110143783,115.86065464317664,public,operational,False,WA
190457,Mossman Gorge Centre,Mossman Gorge Aboriginal Community,Queensland,Public - Membership Required,Operational,(Unknown Operator),Type 2 (Socket Only),7.0,1.0,-16.47409220742763,145.34900965034046,public,operational,False,QLD
190456,Port Douglas QESH,Port Douglas,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-16.5267622520372,145.46290164900427,public,operational,True,QLD
190455,Cairns QESH,Cairns,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-16.920519243236583,145.77903299687227,public,operational,True,QLD
190454,Innisfail QESH,Innisfail,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-17.523530736436754,146.02679729814793,public,operational,True,QLD
190453,Tully QESH,Tully,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-17.9348995446898,145.92405904782356,public,operational,True,QLD
190452,Cardwell QESH,Cardwell,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-18.262614406268767,146.02462137635962,public,operational,True,QLD
190451,PUMA /Evie,Townsville,Queensland,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",350.0,4.0,-19.319350027741095,146.8284609718744,public,operational,True,QLD
190450,Townsville QESH,Townsville,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,3.0,-19.323358513085054,146.7583755416913,public,operational,True,QLD
190449,Ayr QESH,Ayr,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-19.573864927671323,147.40556577868756,public,operational,True,QLD
190448,Bowen QESH,Bowen,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-20.016753107666602,148.24891308162455,public,operational,True,QLD
190447,Proserpine QESH,Proserpine,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-20.402473679690317,148.58154883254292,public,operational,True,QLD
190446,Mackay QESH,Mackay,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-21.139355499964623,149.18503710905475,public,operational,True,QLD
190445,Carmila QESH,Carmila,QLD,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,3.0,-21.908502802871126,149.41051205419296,public,operational,True,QLD
190444,Marlborough QESH,Marlborough,Queensland,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,4.0,-22.82792884592763,149.9324998642801,public,operational,True,QLD
190443,Project Ave Parking,Tewantin,Queensland,Public - Membership Required,Operational,Evie,"CCS (Type 2), CHAdeMO",50.0,2.0,-26.4086797421553,153.0461333645826,public,operational,True,QLD
190442,Ikea North Lakes,North Lakes,QLD,Public - Membership Required,Operational,Queensland Electric Super Highway,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",50.0,3.0,-27.242998014121355,153.01465696410696,public,operational,True,QLD
190417,Richmond Tavistock No. 3 [Jolt],Sydney,New South Wales,Public,Operational,(Unknown Operator),"CCS (Type 2), CHAdeMO",25.0,2.0,-33.86602668667314,151.06443969723887,public,operational,False,NSW
190410,Yass Soldiers Club,Yass,NSW,"Private - For Staff, Visitors or Customers",Operational,(Unknown Operator),Type 2 (Tethered Connector) ,22.0,1.0,-34.84180413059654,148.9128633229027,private,operational,False,NSW
190409,Bathurst Rail Museum,Bathurst,NSW,Public,Operational,(Unknown Operator),"Type 2 (Socket Only), Type 2 (Tethered Connector) ",22.0,2.0,-33.425767907528055,149.58141991356138,public,operational,False,NSW
190408,Hydro Majestic Hotel,Medlow Bath,NSW ,Public,Operational,(Unknown Operator),"Type 1 (J1772), Type 2 (Tethered Connector) ",22.0,2.0,-33.67697329948779,150.281626751796,public,operational,False,NSW
