UCL_CODE_2021,name,area_sqkm,population,lat,lon,state
113002,Batemans Bay,22.3825,12263,-35.71808502896968,150.19278417366624,
113003,Broken Hill,25.7209,17456,-31.963928677875813,141.4557869042185,
113004,Byron Bay,21.8576,10538,-28.652204626437616,153.6024175086718,
113005,Grafton,42.1678,17155,-29.709654688289596,152.932554229444,
113006,Kempsey,47.0402,11073,-31.0773944045451,152.79934061516286,
113007,Kiama,13.0378,14761,-34.65998454005958,150.8486003530197,
113008,Lithgow,24.1517,11197,-33.48103661395562,150.15905742224376,
113009,Medowie,14.4774,10019,-32.74010400254153,151.86984902046203,
113010,Mudgee,23.7291,11563,-32.59654944814553,149.56941361829817,
113011,Muswellbrook,13.2246,10901,-32.2733141022169,150.89075830730172,
113012,Nelson Bay,11.4693,14593,-32.725731985424666,152.13420301264807,
113013,Raymond Terrace,25.5358,14081,-32.77626347388444,151.74575592685136,
113014,Singleton,17.2382,14229,-32.55275457303408,151.16330158738242,
113015,St Georges Basin - Sanctuary Point,9.3471,11000,-35.09837951635386,150.61405682806998,
113016,Taree,37.8066,18110,-31.893140156377065,152.4576179400633,
113017,Ulladulla,21.665,14396,-35.35504423979582,150.46110667370397,
113018,Yarrawonga - Mulwala (Mulwala Part),10.582,2389,-35.98889798033163,146.00016739183414,
114001,Alstonville,4.5383,5182,-28.83834807184288,153.44156424850212,
114002,Camden Haven,18.8362,8037,-31.639925183107987,152.79706751653896,
114003,Casino,12.1923,9968,-28.86311411988447,153.04756403192695,
114004,Cooma,17.7928,6447,-36.233363681558906,149.1335722274098,
114005,Cootamundra,9.098,5732,-34.637953241018955,148.02623021204408,
114006,Corowa - Wahgunyah (Corowa Part),24.962,5444,-36.00690489088124,146.37283306431445,
114007,Cowra,23.8754,8254,-33.838584040514654,148.67270688563258,
114008,Deniliquin,35.3535,6431,-35.54308059358335,144.95492722610945,
114009,Estella,8.9939,6782,-35.06779925462161,147.35382453995092,
114010,Forbes,22.6071,6837,-33.38475334561207,148.00646542160823,
114011,Glen Innes,10.123,5184,-29.73715813488084,151.73071021633436,
114012,Googong,6.9164,6224,-35.428050548734454,149.23418387326993,
114013,Gunnedah,33.352,8338,-30.96581629877565,150.24042298653464,
114014,Helensburgh,4.4292,6304,-34.18736702612699,150.9902959636846,
114015,Inverell,19.9113,9654,-29.78144829033769,151.11402367137066,
114016,Leeton,13.1093,7437,-34.55140104626915,146.4055337160381,
114017,Lennox Head,6.0278,7483,-28.80299361726321,153.5897221536329,
114018,Merimbula,22.6365,8220,-36.886012348307226,149.90961576245553,
114019,Moree,18.8279,7070,-29.47786785557407,149.84106106697888,
114020,Moss Vale,13.5625,8774,-34.549447928791416,150.3819728316901,
114021,Murwillumbah,26.3283,9812,-28.332690241391187,153.40472568445395,
114022,Nambucca Heads,13.6229,6668,-30.654430031184003,152.9889478469243,
114023,Narrabri,18.1258,5499,-30.330124428897484,149.77455382318576,
114024,Parkes,17.1642,9832,-33.14102936715009,148.17637908228755,
114025,Pottsville,8.9595,7209,-28.378146863389095,153.5610645798255,
114026,Richmond North,5.3625,5467,-33.583598478395885,150.706173635487,
114027,Salamander Bay - Soldiers Point,5.5698,5605,-32.72434054600119,152.07574021316296,
114028,Scone,11.0081,5013,-32.04350361533668,150.85827097075858,
114029,Silverdale - Warragamba,6.1537,5364,-33.90028763192335,150.6117553161873,
114030,South West Rocks,12.7605,5443,-30.896999055437785,153.0526908979116,
114031,Summerland Point - Gwandalan,7.0648,6492,-33.13713578907249,151.5753122246509,
114032,Tahmoor,4.6536,5014,-34.219690052023964,150.59367020656586,
114033,Tumut,12.0833,6518,-35.309250318586344,148.2194582641466,
114034,Wauchope,24.193,7982,-31.465272959597225,152.72752901320675,
114035,Woolgoolga,9.1019,5797,-30.114996634272817,153.1919659107722,
114036,Yamba,8.8924,6342,-29.43319417668782,153.33874673416534,
114037,Yass,8.1577,5837,-34.83820106861124,148.91319506121738,
114038,Young,11.4838,7712,-34.31972328494332,148.297291020681,
115001,Aberdeen,4.6827,1872,-32.1678493946403,150.8934536655002,
115002,Anna Bay - Boat Harbour,5.965,4241,-32.781443632123235,152.10167163100203,
115003,Appin,2.7104,2869,-34.20192996250855,150.78943765481134,
115004,Arrawarra,7.2412,1820,-30.06521465520417,153.19397081223977,
115005,Balranald,3.5294,1063,-34.635763571123086,143.55873362199875,
115006,Bangalow,1.8485,2260,-28.68578021806881,153.5240161720514,
115007,Bargo,4.4939,3314,-34.289117256334194,150.57652510519887,
115008,Barham - Koondrook (Barham Part),4.224,1134,-35.623459224572535,144.13188763321438,
115009,Barooga,5.6934,1752,-35.90621758551666,145.69133294840077,
115010,Barraba,2.6989,1035,-30.384045240649726,150.6067578808885,
115011,Basin View,3.8768,1583,-35.08764197010913,150.56196619838474,
115012,Batlow,2.8616,1022,-35.52049324692028,148.14660077508444,
115013,Bega,6.7675,4368,-36.6796020373496,149.83815851761153,
115014,Bellingen,3.6139,3201,-30.45178577550765,152.8993313474716,
115015,Bermagui,9.2223,1798,-36.43201279509539,150.06317521909065,
115016,Berridale,2.2642,1030,-36.368305164757466,148.83062986568032,
115017,Berry,3.0097,2467,-34.7735450607839,150.68550538922543,
115018,Bingara,3.9256,1028,-29.870020278379624,150.56565561130978,
115019,Blackheath,15.9555,4479,-33.62587887203845,150.29546774119717,
115020,Blayney,5.3696,2997,-33.52959116383314,149.25048291216766,
115021,Bombala,5.1846,1136,-36.90978468331197,149.23839220760087,
115022,Bonny Hills,2.7491,2825,-31.58830878488268,152.83757469147534,
115023,Boorowa,6.0795,1402,-34.44437792013104,148.72052210763275,
115024,Bourke,6.5338,1535,-30.092721325601172,145.93707064524068,
115025,Bowen Mountain,0.9065,1498,-33.57589472459059,150.62526963623947,
115026,Braidwood,4.8704,1414,-35.44151517672167,149.7947010708286,
115027,Branxton,3.7413,2878,-32.656534805418055,151.35577931033208,
115028,Broulee - Mossy Point,5.7405,2502,-35.84259319714912,150.17513329128033,
115029,Brunswick Heads,4.0461,1686,-28.553049860622217,153.54772143247584,
115030,Bulahdelah,2.5821,1163,-32.40657640106961,152.2083898541173,
115031,Bundanoon,9.6503,2642,-34.65810396047496,150.29756545495007,
115032,Bundeena,1.1786,2103,-34.08545479080741,151.15168552131547,
115033,Bungendore,5.0679,3935,-35.25244528342502,149.4425179854419,
115034,Buxton (NSW),1.588,1741,-34.25763064038748,150.53219617614113,
115035,Calala,3.2268,3930,-31.13301697303529,150.94963121496122,
115036,Callala Bay,5.072,3076,-35.00712931878768,150.70259139224925,
115037,Cambewarra Village,0.995,1211,-34.82249532064746,150.55874974406078,
115038,Canowindra,4.204,1451,-33.56257980205314,148.66511870111128,
115039,Cobar,9.5893,3369,-31.499267759455837,145.83614388179524,
115040,Colo Vale,4.3899,1528,-34.40243251354916,150.48549688475256,
115041,Condobolin,8.5865,2579,-33.08552637651823,147.14739551913908,
115042,Coolamon,5.4419,1744,-34.816373621550454,147.20065202395216,
115043,Coonabarabran,11.0219,2387,-31.2729522351777,149.2765328945988,
115044,Coonamble,10.1731,2353,-30.962259262442352,148.3808500706154,
115045,Coraki,3.0021,1155,-28.99302064059885,153.28022400582725,
115046,Corindi Beach,2.3846,1649,-30.02799554472559,153.19784819677042,
115047,Crookwell,4.9173,2098,-34.459832810245466,149.46674067325148,
115048,Culburra Beach - Orient Point,7.0568,3580,-34.91894382923509,150.7595179008319,
115049,Culcairn,2.5325,1112,-35.66563770318086,147.04249291395695,
115050,Cumbalum,1.7283,2011,-28.82222362501428,153.53528536148625,
115051,Dalmeny,5.4353,2194,-36.16846512120318,150.114769860029,
115052,Denman,3.2542,1547,-32.38893114122616,150.6814212927398,
115053,Dorrigo,4.2195,1046,-30.340704005249734,152.70968334675425,
115054,Douglas Park,5.9437,1092,-34.185614832135904,150.71348951761632,
115055,Dungog,6.4834,2169,-32.405898240915725,151.75052330345795,
115056,Eden,8.161,3227,-37.05370484715587,149.90447702744018,
115057,Evans Head,9.4322,2894,-29.110925901113024,153.42091884305282,
115058,Fingal Bay,1.118,1635,-32.747115888193306,152.16722478804112,
115059,Finley,5.9822,1864,-35.64468586634653,145.5711977823781,
115060,Forest Hill (NSW),6.0699,2835,-35.15616033636301,147.4614007448896,
115061,Frederickton,1.5209,1195,-31.03572586114111,152.8740614313384,
115062,Freemans Reach,3.7144,1343,-33.56504202260601,150.7811667378386,
115063,Galston,0.527,1175,-33.65029922299596,151.0430478584187,
115064,Gerringong,2.6665,4565,-34.74266510348687,150.82728806451146,
115065,Gilgandra,10.9255,2417,-31.704422993106476,148.65150572333755,
115066,Glossodia,8.0675,2548,-33.534570955303366,150.7697588885921,
115067,Gloucester,5.8359,2469,-32.0147938687856,151.96037160999933,
115068,Greenwell Point,2.667,1245,-34.91075168715986,150.7304218623552,
115069,Grenfell,10.9719,2022,-33.8977849440788,148.1553778896578,
115070,Greta,5.1063,3230,-32.67582002477378,151.39243571932008,
115071,Gulgong,4.042,2057,-32.36181236286264,149.53418026489038,
115072,Gulmarrad,9.2572,1844,-29.49188485933649,153.2305100067843,
115073,Gundagai,9.0449,1970,-35.064844280627405,148.1079266043584,
115074,Guyra,7.7244,2077,-30.22484071884908,151.67279230010155,
115075,Hallidays Point - Black Head,3.5175,1106,-32.07051392418683,152.53439812107436,
115076,Harden - Murrumburrah,5.832,1789,-34.55670255937207,148.36229911946714,
115077,Harrington,3.1929,3240,-31.877603407656167,152.66966062874263,
115078,Hawks Nest ,13.8335,1413,-32.6610251205762,152.18435530906984,
115079,Hay,10.731,2208,-34.51345635074849,144.8382745449803,
115080,Hill Top,2.2634,2262,-34.35379937587989,150.49287087266694,
115081,Hillston,6.3583,1149,-33.48905446674869,145.5305308502819,
115082,Holbrook,3.82,1251,-35.72103169684087,147.31787810598243,
115083,Howlong,4.0465,2654,-35.98283575225063,146.63437286151958,
115084,Iluka,5.5661,1764,-29.405896088359015,153.35335572436492,
115085,Jamberoo,1.4114,1229,-34.645446205785255,150.77676758952876,
115086,Jindabyne,2.0513,2233,-36.4185026903236,148.6185948757451,
115087,Jindera,3.2855,1389,-35.95679427744036,146.891456226521,
115088,Junction Hill,2.3406,1515,-29.639471281754712,152.92517469808422,
115089,Junee,20.8145,4882,-34.861047907414594,147.5716055021469,
115090,Kandos,4.4775,1208,-32.85841455172954,149.9752019096082,
115091,Karuah,3.0402,1451,-32.65107370395323,151.95974656030145,
115092,Kootingal,2.2163,1862,-31.053226584804957,151.05530544783133,
115093,Kurrajong,2.229,1159,-33.554198009467726,150.66810640293744,
115094,Kyogle,5.6379,2804,-28.62229582335064,152.99706887764614,
115095,Lake Cargelligo,6.0893,1169,-33.291076141636715,146.37677249063637,
115096,Lake Cathie,9.3406,4049,-31.55695230837296,152.84400456571143,
115097,Lemon Tree Passage,1.8194,2680,-32.733638587866245,152.03243151726886,
115098,Lightning Ridge,2.9268,1396,-29.42870054215808,147.97870068885365,
115099,Macksville,11.3702,3023,-30.71118015252601,152.91645485191373,
115100,Maclean,3.6455,2711,-29.457085565958486,153.20510208678775,
115101,Malua Bay,4.4412,2372,-35.786683423470684,150.226587073918,
115102,Manilla,3.2074,2014,-30.748951918230446,150.72354654343582,
115103,Merriwa,3.8132,1042,-32.14059129610974,150.36081937681442,
115104,Milton,3.1512,1538,-35.318484794956234,150.43507247156364,
115105,Molong,3.8336,1621,-33.09286320368263,148.86195835573722,
115106,Moruya,6.301,2762,-35.91392143779111,150.0786114078005,
115107,Mullumbimby,4.2217,3589,-28.55397445958245,153.48930146953498,
115108,Murrumbateman,9.0224,2111,-34.97292521059618,149.00745459439813,
115109,Narooma,8.047,3395,-36.2071678391523,150.12682801051025,
115110,Narrandera,7.8069,3783,-34.743606659754896,146.55302664767365,
115111,Narromine,10.4355,3507,-32.22582639935266,148.23652639071523,
115112,North Rothbury,3.4167,2283,-32.677621242815285,151.3579265590384,
115113,Nyngan,11.6282,1761,-31.55884351778651,147.1980736348806,
115114,Oberon,7.1806,2540,-33.70312715298199,149.86120823247433,
115115,Ocean Shores,10.5118,4818,-28.519935053211288,153.5366553307608,
115116,Old Bar,5.3435,4485,-31.966146308544086,152.58355984614815,
115117,Old Erowal Bay,1.1767,1719,-35.0888863319382,150.6477534531418,
115118,Pambula,7.5931,1627,-36.92959329051197,149.8853630647786,
115119,Picton,4.4049,3847,-34.17503286816385,150.61322117361527,
115120,Pitt Town,5.2462,3325,-33.57538290303355,150.86450159494802,
115121,Portland (NSW),4.7269,1841,-33.35213052129586,149.98481570660977,
115122,Quirindi,9.78,2602,-31.508245072578795,150.6812614380182,
115123,Robertson,3.3152,1476,-34.58740777573484,150.60096157859914,
115124,Sandy Beach - Emerald Beach,7.3584,4459,-30.157487105197237,153.18960415422143,
115125,Shoalhaven Heads,4.2675,3264,-34.85027663804927,150.74090872420592,
115126,Skennars Head,0.8228,1053,-28.82812685845078,153.6022483091652,
115127,Smiths Lake,5.2453,1332,-32.3728925039494,152.50358765036975,
115128,South Golden Beach,2.5033,2219,-28.49635488623485,153.5431757388491,
115129,Stanwell Park,3.2243,1713,-34.23867412410344,150.97855116698594,
115130,Sussex Inlet,10.9311,3659,-35.17213321012255,150.58423067985112,
115131,Tanilba Bay,3.3053,4182,-32.732583304230644,152.00223537734144,
115132,Tathra,6.8041,1523,-36.71632462722036,149.97202270457677,
115133,Tea Gardens,1.9817,2837,-32.65966577936532,152.15147302332417,
115134,Temora,16.1066,4016,-34.44195699799812,147.5257370647712,
115135,Tenterfield,7.2653,2826,-29.05016527921304,152.01886908274346,
115136,The Oaks,1.9297,2171,-34.08026292160326,150.56941998039625,
115137,Thirlmere,7.31,4118,-34.209433538405385,150.56486237940493,
115138,Thrumster,5.9061,2115,-31.46591858421934,152.83184022099735,
115139,Tocumwal,18.5863,2587,-35.80812894776576,145.5832860207965,
115140,Tomakin,3.8804,1233,-35.82217614767693,150.18910676803927,
115141,Tumbarumba,6.2643,1505,-35.77251394538811,148.00766899933276,
115142,Tuross Head,3.726,2292,-36.05392333498825,150.1310459653753,
115143,Uralla,8.2332,2385,-30.64210597895725,151.49314014721062,
115144,Urunga,5.3632,2731,-30.49761156874082,153.0107544423074,
115145,Valla Beach,2.1837,1455,-30.595050584152588,153.00720033232966,
115146,Vincentia,3.3417,2705,-35.07224222186176,150.68161711592975,
115147,Vincentia West,0.9218,1162,-35.072926059185576,150.6558785738594,
115148,Walcha,3.6711,1369,-30.982689267377296,151.59407726447347,
115149,Walgett,5.7855,1377,-30.025911674878856,148.12028556639575,
115150,Wallacia,1.6786,1081,-33.86887233284769,150.64406792365764,
115151,Wallerawang,5.5764,2079,-33.40279237535142,150.0758910416013,
115152,Warialda,3.5224,1130,-29.53876212192312,150.57452841820935,
115153,Warren,2.9812,1365,-31.701347800642125,147.83356135528453,
115154,Wee Waa,4.5377,1571,-30.22282849087857,149.4414155334277,
115155,Wellington,9.3292,4581,-32.556417041832226,148.94923342297648,
115156,Wentworth,4.6048,1305,-34.10265635301364,141.91875893917052,
115157,Werris Creek,5.4511,1349,-31.345891153261995,150.64878868375396,
115158,West Wyalong,8.2726,2698,-33.91906265245981,147.2072728954637,
115159,Wilberforce,1.7281,1817,-33.55447446341884,150.84251915009244,
115160,Wilton,2.9324,2959,-34.23053212356912,150.6864947211813,
115161,Wingham,7.2557,4556,-31.868547924741204,152.36594219339443,
115162,Wollongbar,2.9112,2988,-28.82326876824312,153.42028436301717,
115163,Wyee,5.5092,1980,-33.1792552821443,151.47999883599778,
115164,Wyee Point,0.95,1352,-33.145507437693404,151.52209065317257,
115165,Yenda,3.0959,1070,-34.249445040977925,146.19535377751671,
121001,Adelong (L),2.6267,856,-35.308642831054534,148.063833941749,
121002,Baradine (L),3.189,586,-30.947916229677155,149.0621213661891,
121003,Bawley Point (L),2.2931,716,-35.514728577114475,150.39303119393284,
121004,Beechwood (L),9.9177,914,-31.440310945284104,152.67127839504238,
121005,Belimbla Park (L),3.6613,576,-34.08412096425705,150.53975897859092,
121006,Berrara - Cudmirrah (L),1.3536,612,-35.20240087435992,150.5526895915429,
121007,Berrigan (L),9.1952,957,-35.66711456475555,145.81840140996815,
121008,Boggabilla (L),4.2486,529,-28.60760820328969,150.35931104023956,
121009,Boggabri (L),5.8304,885,-30.709703834744115,150.04507636864594,
121010,Boomerang Beach - Blueys Beach (L),4.7593,668,-32.34578954991646,152.53186280475785,
121011,Bowraville (L),2.2294,941,-30.65025645399619,152.85384929366407,
121012,Brandy Hill (L),6.3434,852,-32.68955963708225,151.6968501305581,
121013,Brewarrina (L),4.8359,743,-29.963133139620112,146.86501558589387,
121014,Broadwater (L),0.9863,524,-29.01554036417578,153.42965964927453,
121015,Brooklyn (L),2.158,737,-33.54641076758423,151.21643217169873,
121016,Burringbar (L),1.7387,555,-28.439402256013526,153.47019573489604,
121017,Catherine Hill Bay (L),0.9832,820,-33.162027525997864,151.6264185908119,
121018,Clarence Town (L),2.4892,878,-32.58734766167192,151.78129319391988,
121019,Clifton Grove (L),13.5933,701,-33.24398106012016,149.15111039795556,
121020,Clunes (L) (NSW),1.003,564,-28.72912471637569,153.4065838529163,
121021,Coleambally (L),3.2856,566,-34.800268855927634,145.88953734821908,
121022,Coolah (L),2.8295,722,-31.824078340069843,149.7147533706403,
121023,Coomba Park (L),3.0272,587,-32.23959310191454,152.4666068244199,
121024,Coutts Crossing (L),5.0358,553,-29.82227645391643,152.89572072955806,
121025,Cowan (L),0.3968,599,-33.58932786316972,151.17032691521516,
121026,Crescent Head (L),1.1606,978,-31.19090287498,152.97545724778846,
121027,Cudgen (L),0.3819,616,-28.2620989915941,153.55851555677827,
121028,Cunjurong Point - Manyana (L),2.7216,785,-35.26071594936355,150.5097072860842,
121029,Curlewis (L),4.9294,605,-31.11649748809349,150.26101987002585,
121030,Darlington Point (L),4.3483,868,-34.56533623122412,146.00467989400198,
121031,Diamond Beach (L),4.4692,1012,-32.04029220645237,152.53356170548335,
121032,Dunedoo (L),4.2189,725,-32.018273019881875,149.3913247112013,
121033,Dunoon (L),0.5862,513,-28.685743449798878,153.31668350148195,
121034,East Jindabyne (L),8.823,907,-36.39437813366498,148.63817648637053,
121035,Ellalong (L),1.9901,1125,-32.91595719983299,151.31274741388555,
121036,Emerald Beach West (L),7.8804,1427,-30.17419524297208,153.1619462933793,
121037,Erowal Bay (L),1.4688,791,-35.10614780787487,150.6585613574259,
121038,Eugowra (L),4.5142,601,-33.42820594454749,148.3644569444559,
121039,Ewingsdale (L),5.3241,733,-28.64780179230942,153.56466843131264,
121040,Firgrove (L),5.1331,511,-32.28817140022224,148.71035558951476,
121041,Ganmain (L),2.6683,592,-34.79472463753692,147.04094418373907,
121042,Gerroa (L),0.9876,553,-34.77280590766596,150.81516094742253,
121043,Glenorie (L),0.4235,684,-33.599337350039825,151.00850207169134,
121044,Glenreagh (L),2.1822,562,-30.052190522307654,152.9852319122418,
121045,Green Point (L),0.9858,522,-32.24944054999215,152.51824669857712,
121046,Gundaroo (L),0.8938,503,-35.02508961262829,149.26721033979177,
121047,Gunning (L),1.5214,604,-34.783154654028,149.26683085701,
121048,Hallidays Point - West (L),6.1506,500,-32.070999450203246,152.50496234063672,
121049,Hanwood (L),0.6165,641,-34.33117331045797,146.04398011883657,
121050,Hastings Point (L),0.9717,661,-28.36389412238552,153.57426621694822,
121051,Henty (L),3.0381,940,-35.522532479028975,147.03557627546826,
121052,Huskisson (L),1.272,825,-35.04178077151767,150.67135957846608,
121053,Jerilderie (L),7.8564,747,-35.36119451767995,145.72705037742872,
121054,Jilliby (L),4.5315,777,-33.23607106185442,151.40723397191465,
121055,Kalaru (L),6.7876,668,-36.73437959691395,149.94406762481503,
121056,Kendall (L),3.6412,890,-31.62739649493614,152.7117036007243,
121057,Killingworth (L),0.5835,683,-32.9357395398344,151.5594225849533,
121058,King Creek (L),17.4076,1863,-31.49237553367973,152.75656950667607,
121059,Kings Point (L),2.6264,609,-35.37133663497383,150.44456848431156,
121060,Kingswood (L),5.2199,980,-31.165483996020868,150.908526606764,
121061,Kitchener (L),0.611,554,-32.87596789183079,151.37009338216913,
121062,Kurrajong Heights (L),1.0991,905,-33.52581804557921,150.6267228082535,
121063,Lake Conjola (L),1.1386,656,-35.269581278842175,150.48579707574729,
121064,Lake Tabourie (L),2.7191,670,-35.4387047580967,150.402934791918,
121065,Lawrence (L),6.1736,925,-29.489141232009167,153.10184518946485,
121066,Lochinvar (L),1.0356,508,-32.701319880684444,151.4534314449477,
121067,Lockhart (L),2.1523,830,-35.223045564090306,146.7152712710597,
121068,Long Beach - Maloneys Beach (L),10.551,2231,-35.692074517774984,150.22646521324128,
121069,Louth Park (L),2.3992,767,-32.77687086194812,151.5526899379828,
121070,Maianbar (L),0.2931,539,-34.08021297462386,151.12857256131926,
121071,Manildra (L),2.583,529,-33.183272338356765,148.69612916293815,
121072,Marulan (L),2.7392,819,-34.709734002749414,150.00120778982475,
121073,Mathoura (L),2.3909,691,-35.81408811118316,144.9002262253634,
121074,Medlow Bath (L),3.1061,556,-33.679166627421246,150.28202026553154,
121075,Menangle (L),0.2988,656,-34.13048538238559,150.73940883535136,
121076,Millfield (L),1.5339,1071,-32.89263264074346,151.26293088778155,
121077,Millthorpe (L),0.9,750,-33.44601456003251,149.18285687038224,
121078,Minmi (L),2.4419,686,-32.88682499552424,151.61302210887737,
121079,Modanville (L),2.3254,526,-28.71641137213797,153.2983843141043,
121080,Moonee Beach (L),3.5394,996,-30.20456498514749,153.15340829540096,
121081,Moonee Beach West (L),7.4114,583,-30.19226328433527,153.13658457360563,
121082,Moruya Heads (L),12.3761,1125,-35.92833829540478,150.13968291554903,
121083,Mount Victoria (L),2.13,913,-33.58639183715745,150.25023319221324,
121084,Mulgoa (L),1.6359,844,-33.840395776017395,150.65370629946457,
121085,Murrays Beach (L),1.14,1022,-33.11768492779333,151.61802091373468,
121086,Murrurundi (L),2.4306,822,-31.764321279790867,150.83213568861734,
121087,Nabiac (L),2.0303,656,-32.098198648096904,152.38650609441973,
121088,New Berrima (L),3.3855,598,-34.50807660011198,150.33293328447834,
121089,Nords Wharf (L),1.1965,895,-33.13516361112055,151.60856713524774,
121090,Nowra Hill (L),6.6298,828,-34.911565372903446,150.5574448504738,
121091,Nunderi (L),3.8271,696,-28.32206452824481,153.45967332017452,
121092,Oakdale (L),5.5769,1179,-34.074110715166405,150.4981816599694,
121093,Paxton (L),1.5111,1160,-32.90084456556386,151.28902529784,
121094,Peak Hill (L),3.6436,768,-32.73112849715505,148.1839424201465,
121095,Putta Bucca - Bombira (L),11.3966,693,-32.57327583575445,149.59711317946122,
121096,Red Head (L),2.5539,798,-32.057045236585886,152.5357531360374,
121097,Repton (L),8.9417,667,-30.44281132934012,153.0367431627818,
121098,Richmond Hill (L),6.6272,850,-28.78920520900633,153.34696618048852,
121099,Rylstone (L),2.0546,624,-32.79913242380785,149.9710999883624,
121100,Safety Beach (L),2.1922,1103,-30.094952267698783,153.1939075265945,
121101,Salt Ash (L),18.7063,1103,-32.7843292463882,151.9239340893962,
121102,Scotts Head (L),1.2851,994,-30.747651498370807,152.99321086126406,
121103,Smithtown - Gladstone (L),3.0847,1021,-31.01998474390249,152.9475403203246,
121104,Stroud (L),3.037,738,-32.403072247246875,151.9650583476915,
121105,Stuarts Point (L),0.6872,656,-30.821988980252392,152.99151762608597,
121106,Tallwoods Village (L),2.4392,993,-32.05535437849651,152.5104264832072,
121107,The Rock (L),4.6353,953,-35.271445514553285,147.10974997846574,
121108,Tinonee (L),0.9539,840,-31.93683844369449,152.41384217904638,
121109,Tintenbar (L),6.2048,499,-28.799907424043443,153.50927387298657,
121110,Townsend (L),3.2202,991,-29.46620489029041,153.22073454203013,
121111,Trangie (L),1.9766,768,-32.03430317398898,147.98179033668728,
121112,Uranquinty (L),1.2288,767,-35.19128737408154,147.2467610973491,
121113,Walla Walla (L),1.3297,532,-35.76131198849387,146.90223716606516,
121114,Wallabi Point (L),0.3946,884,-31.99263606772344,152.56826848510755,
121115,Wallaga Lake (L),4.8895,651,-36.37785487663584,150.06988897543542,
121116,Wallalong (L),2.0561,963,-32.68878085535186,151.65344846351596,
121117,Wardell (L),1.4906,662,-28.951741506572876,153.4638733906868,
121118,Waterfall (L),0.3848,518,-34.132474382426,150.9928070292696,
121119,Waterview Heights (L),6.6559,872,-29.66676579366325,152.8716780979146,
121120,Wilcannia (L),2.7965,539,-31.559136380377097,143.37396681040337,
121121,Wingello (L),3.2623,510,-34.692893059164646,150.15980416076675,
121122,Wongarbon (L),4.8846,665,-32.32843087026397,148.76648227049162,
121123,Woodburn (L),1.7525,678,-29.07428618515542,153.34291307444457,
121124,Wooli (L),2.1076,503,-29.860267044181317,153.26377547605995,
121125,Woombah (L),4.9042,935,-29.356802123295697,153.2741727957063,
121126,Wooroowoolgan (L),0.6058,593,-28.86207612504165,153.01597733766627,
121127,Yanderra (L),2.7434,702,-34.31734616909245,150.5714077773518,
121128,Yerrinbool (L),1.0485,974,-34.36608634908643,150.54138955096985,
122001,Abernethy (L),0.2698,255,-32.88062103252512,151.39584370775918,
122002,Adaminaby (L),2.0235,257,-35.99566454122307,148.77319985849215,
122003,Agnes Banks (L),0.5076,410,-33.61328148131967,150.71589464570948,
122004,Angourie (L),3.5357,192,-29.473011722101973,153.35621149206972,
122005,Ardlethan (L),1.6874,352,-34.35528119957341,146.89825726470772,
122006,Ariah Park (L),1.332,272,-34.345539229530274,147.2178639349325,
