UCL_CODE_2021,name,area_sqkm,population,lat,lon,state,chargers_5km,chargers_10km,chargers_20km
115040,Colo Vale,4.3899,1528,-34.40243251354916,150.48549688475256,Unspecified,0,2,4
115041,Condobolin,8.5865,2579,-33.08552637651823,147.14739551913908,Unspecified,0,0,0
115042,Coolamon,5.4419,1744,-34.816373621550454,147.20065202395216,Unspecified,1,1,2
115043,Coonabarabran,11.0219,2387,-31.2729522351777,149.2765328945988,Unspecified,1,1,1
115044,Coonamble,10.1731,2353,-30.962259262442352,148.3808500706154,Unspecified,0,0,0
115045,Coraki,3.0021,1155,-28.99302064059885,153.28022400582725,Unspecified,0,0,1
115046,Corindi Beach,2.3846,1649,-30.02799554472559,153.19784819677042,Unspecified,0,0,0
115047,Crookwell,4.9173,2098,-34.459832810245466,149.46674067325148,Unspecified,0,0,0
115048,Culburra Beach - Orient Point,7.0568,3580,-34.91894382923509,150.7595179008319,Unspecified,0,0,4
115049,Culcairn,2.5325,1112,-35.66563770318086,147.04249291395695,Unspecified,0,0,0
115050,Cumbalum,1.7283,2011,-28.82222362501428,153.53528536148625,Unspecified,1,3,4
115051,Dalmeny,5.4353,2194,-36.16846512120318,150.114769860029,Unspecified,0,1,2
115052,Denman,3.2542,1547,-32.38893114122616,150.6814212927398,Unspecified,0,0,1
115053,Dorrigo,4.2195,1046,-30.340704005249734,152.70968334675425,Unspecified,0,0,0
115054,Douglas Park,5.9437,1092,-34.185614832135904,150.71348951761632,Unspecified,0,1,5
115055,Dungog,6.4834,2169,-32.405898240915725,151.75052330345795,Unspecified,0,0,0
115056,Eden,8.161,3227,-37.05370484715587,149.90447702744018,Unspecified,1,2,3
115057,Evans Head,9.4322,2894,-29.110925901113024,153.42091884305282,Unspecified,0,0,1
115058,Fingal Bay,1.118,1635,-32.747115888193306,152.16722478804112,Unspecified,0,0,1
115059,Finley,5.9822,1864,-35.64468586634653,145.5711977823781,Unspecified,0,0,0
115060,Forest Hill (NSW),6.0699,2835,-35.15616033636301,147.4614007448896,Unspecified,0,2,3
115061,Frederickton,1.5209,1195,-31.03572586114111,152.8740614313384,Unspecified,0,0,0
115062,Freemans Reach,3.7144,1343,-33.56504202260601,150.7811667378386,Unspecified,0,0,1
115063,Galston,0.527,1175,-33.65029922299596,151.0430478584187,Unspecified,0,4,22
